id	idh	name	tag
0	0000	00	BLN
1	0001	Fool	Hero
2	0002	Magician	Hero
3	0003	Priestess	Hero
4	0004	Empress	Hero
5	0005	Emperor	Hero
6	0006	Hierophant	Hero
7	0007	Lovers	Hero
8	0008	Chariot	Hero
9	0009	Justice	Hero
10	000A	Hermit	Hero
11	000B	Fortune	Hero
12	000C	Strength	Hero
13	000D	Hanged Man	Hero
14	000E	Death	Hero
15	000F	Temperance	Hero
16	0010	Devil	Hero
17	0011	Tower	Hero
18	0012	Star	Hero
19	0013	Moon	Hero
20	0014	Sun	Hero
21	0015	Judgement	Hero
22	0016	Aeon	???
23	0017	???	???
24	0018	World	Hero
25	0019	Jester	Hero
26	001A	Hunger	???
27	001B	Aeon	Hero
28	001C	Outsider	???
29	001D	1D	FLR
30	001E	1E	FLR
31	001F	1F	FLR
