id	idh	name	tag
0	0000	0x000	
1	0001	Protagonist	
2	0002	Yosuke Hanamura	
3	0003	Chie Satonaka	
4	0004	Yukiko Amagi	
5	0005	Rise Kujikawa	
6	0006	Kanji Tatsumi	
7	0007	Naoto Shirogane	
8	0008	Teddie	
9	0009	0x009	
10	000A	0x00A	
11	000B	0x00B	
12	000C	0x00C	
13	000D	0x00D	
14	000E	0x00E	
15	000F	0x00F	
16	0010	Dojima	
17	0011	Sayoko	
18	0012	Fox	
19	0013	Kou	
20	0014	Daisuke	
21	0015	Naoki	
22	0016	Hisano	
23	0017	Real Culprit	
24	0018	Ai	
25	0019	Shu	
26	001A	Yumi	
27	001B	Ayane	
28	001C	Eri	
29	001D	Nanako	
30	001E	Margaret	
31	001F	Adachi	
32	0020	Marie	
33	0021	Users	
34	0022	Hanamura	
35	0023	Satonaka	
36	0024	Amagi	
37	0025	Kujikawa	
38	0026	Tatsumi	
39	0027	Shirogane	
40	0028	Yosuke	
41	0029	Chie	
42	002A	Yukiko	
43	002B	Rise	
44	002C	Kanji	
45	002D	Naoto	
