id	idh	name	tag
0	0000	COMMUNITY RESERVE	
1	0001	Investigation Team	
2	0002	Nanako Dojima	
3	0003	Rise Kujikawa	
4	0004	Rise Kujikawa	Romance
5	0005	Yukiko Amagi	
6	0006	Yukiko Amagi	Romance
7	0007	Yosuke Hanamura	
8	0008	Ryotaro Dojima	
9	0009	Nurse	
10	000A	Kanji Tatsumi	
11	000B	Chie Satonaka	
12	000C	Chie Satonaka	Romance
13	000D	Fox	
14	000E	Naoto Shirogane	
15	000F	Naoto Shirogane	Romance
16	0010	Fellow Athletes	Kou
17	0011	Fellow Athletes	Daisuke
18	0012	Saki's Brother	
19	0013	Old Lady	
20	0014	Margaret	
21	0015	Ai Ebihara	
22	0016	Ai Ebihara	Romance
23	0017	Tutored Student	
24	0018	Teddie	
25	0019	Yumi Ozawa	
26	001A	Yumi Ozawa	Romance
27	001B	Ayane Matsunaga	
28	001C	Ayane Matsunaga	Romance
29	001D	Young Mother	
30	001E	Seekers of Truth	
31	001F	Tohru Adachi	Jester
32	0020	Tohru Adachi	Hunger
33	0021	Marie	
34	0022	Marie	Romance
