id	idh	name	tag
0	0000	000	BLN
1	0001	Cowardly Maya	Unused
2	0002	Selfish Basalt	
3	0003	Rainy Sister 4	Rain
4	0004	blank	BLN
5	0005	Magic Hand	
6	0006	Dancing Hand	
7	0007	Killing Hand	
8	0008	Almighty Hand	
9	0009	Laughing Table	
10	000A	Crying Table	
11	000B	Angry Table	
12	000C	Sleeping Table	
13	000D	Magical Magus	
14	000E	Wondrous Magus	
15	000F	Prime Magus	
16	0010	Grand Magus	
17	0011	Lying Hablerie	
18	0012	Forgotten Hablerie	
19	0013	Flattering Hablerie	
20	0014	Agitating Hablerie	
21	0015	Merciless Maya	Unused
22	0016	Autonomic Basalt	
23	0017	Rainy Brother 4	Rain
24	0018	blank	BLN
25	0019	Cloudgirl Pot	Rain
26	001A	Rainy Pot	Rain
27	001B	Yearning Pot	
28	001C	Mistress Pot	
29	001D	Spurious Book	
30	001E	Maniacal Book	
31	001F	Silent Book	
32	0020	Wrathful Book	
33	0021	Tranquil Idol	
34	0022	Liberating Idol	
35	0023	Leading Idol	
36	0024	Vehement Idol	
37	0025	Primitive Idol	
38	0026	Calm Pesce	
39	0027	Pursuing Pesce	
40	0028	Truth Pesce	
41	0029	Revelation Pesce	
42	002A	Frivolous Maya	Unused
43	002B	Idle Basalt	
44	002C	Rainy Sister 3	Rain
45	002D	blank	BLN
46	002E	Venus Eagle	
47	002F	Dark Eagle	
48	0030	Jupiter Eagle	
49	0031	Eternal Eagle	
50	0032	Creation Relic	
51	0033	Constancy Relic	
52	0034	Growth Relic	
53	0035	Change Relic	
54	0036	Elegant Mother	
55	0037	Regal Mother	
56	0038	Pistil Mother	
57	0039	Divine Mother	
58	003A	Secret Bambino	
59	003B	Blooming Bambino	
60	003C	Avarice Bambino	
61	003D	Free Bambino	
62	003E	Haughty Maya	Unused
63	003F	Large Basalt	
64	0040	Rainy Brother 3	Rain|Bugged
65	0041	blank	BLN
66	0042	Grave Beetle	
67	0043	Adamant Beetle	
68	0044	Strength Beetle	
69	0045	Emperor Beetle	
70	0046	Burning Beetle	
71	0047	Avenger Knight	
72	0048	Champion Knight	
73	0049	Hell Knight	
74	004A	Intrepid Knight	
75	004B	Rainy Castle	Rain
76	004C	Power Castle	
77	004D	Raindrop Castle	Rain
78	004E	King Castle	
79	004F	Positive King	
80	0050	Egotistical King	
81	0051	Great King	
82	0052	Brilliant King	
83	0053	Indolent Maya	Unused
84	0054	Dependent Basalt	
85	0055	Rainy Sister 2	Rain
86	0056	blank	BLN
87	0057	Trance Twins	
88	0058	Killer Twins	
89	0059	Rainbow Twins	Rain
90	005A	Crazy Twins	
91	005B	Corrupt Tower	
92	005C	Dogmatic Tower	
93	005D	Apostate Tower	
94	005E	Fanatic Tower	
95	005F	Grudge Tower	
96	0060	Blue Sigil	
97	0061	Red Sigil	
98	0062	Green Sigil	
99	0063	Purple Sigil	
100	0064	Bribed Fuzz	
101	0065	Persistent Fuzz	
102	0066	Monomaniac Fuzz	
103	0067	Chaos Fuzz	
104	0068	Insidious Maya	Unused
105	0069	Anguish Basalt	
106	006A	Rainy Brother 2	Rain
107	006B	blank	BLN
108	006C	Monopolizing Cupid	
109	006D	Blind Cupid	
110	006E	Devoted Cupid	
111	006F	Gracious Cupid	
112	0070	Soul Dancer	
113	0071	Ardent Dancer	
114	0072	Royal Dancer	
115	0073	Natural Dancer	
116	0074	Harem Dancer	
117	0075	Lustful Snake	
118	0076	Immoral Snake	
119	0077	Carnal Snake	
120	0078	Amorous Snake	
121	0079	Stoic Snake	
122	007A	Whimsical Papillon	
123	007B	Finicky Papillon	
124	007C	Fickle Papillon	
125	007D	Pure Papillon	
126	007E	Ill-fated Maya	Unused
127	007F	Insolent Basalt	
128	0080	Rainy Sister 1	Rain
129	0081	blank	BLN
130	0082	Rain Wheel	Rain
131	0083	Mach Wheel	
132	0084	Brave Wheel	
133	0085	Battle Wheel	
134	0086	Wild Drive	
135	0087	Killer Drive	
136	0088	Slaughter Drive	
137	0089	Rampage Drive	
138	008A	Arcane Turret	
139	008B	Scarlet Turret	
140	008C	Wicked Turret	
141	008D	Hallowed Turret	
142	008E	Spastic Turret	
143	008F	Berserk Turret	
144	0090	Dismayed Panzer	
145	0091	Rash Panzer	
146	0092	Conceited Panzer	
