id	idh	name	tag
0	0000	Blank	BLN
1	0001	Golf Club	Weapon
2	0002	Titanium Club	Weapon
3	0003	5-Iron	Weapon
4	0004	Imitation Katana	Weapon
5	0005	Musashi Shinai	Weapon
6	0006	Long Sword	Weapon
7	0007	Zweihander	Weapon
8	0008	Iai Katana	Weapon
9	0009	Bastard Sword	Weapon
10	000A	Gothic Sword	Weapon
11	000B	Type-98 Gunto	Weapon
12	000C	Downpour Sword	Weapon|Bugged
13	000D	Edge	Weapon
14	000E	Kage-Dachi	Weapon
15	000F	Great Sword	Weapon
16	0010	Midare Hamon	Weapon
17	0011	Anglaise	Weapon
18	0012	Kakitsubata	Weapon
19	0013	Gardenia Sword	Weapon
20	0014	Kenka	Weapon
21	0015	Krieg	Weapon
22	0016	Kijintou	Weapon
23	0017	Number One	Weapon
24	0018	Gaia Sword	Weapon
25	0019	Tsubaki-Otoshi	Weapon
26	001A	Myth-like Sword	Weapon
27	001B	Shichisei-Ken	Weapon
28	001C	El Caliente	Weapon
29	001D	Yahiro Sword	Weapon
30	001E	Triumph	Weapon
31	001F	Tajikarao Sword	Weapon
32	0020	Futsuno Mitama	Weapon
33	0021	Soul Crusher	Weapon
34	0022	Wooden Bat	Weapon
35	0023	Metal Bat	Weapon
36	0024	Blade of Totsuka	Weapon
37	0025	0x025	FLR
38	0026	0x026	FLR
39	0027	Monkey Wrench	Weapon
40	0028	Titanium Wrench	Weapon
41	0029	Skill Spanner	Weapon
42	002A	Hunting Nata	Weapon
43	002B	Kunai	Weapon
44	002C	Poison Kunai	Weapon
45	002D	Reign Skinner	Weapon
46	002E	Santou	Weapon
47	002F	Kozuka	Weapon
48	0030	Throwing Kunai	Weapon
49	0031	Kris Naga	Weapon
50	0032	Kaiken	Weapon
51	0033	Bashin	Weapon
52	0034	Yashioori Dagger	Weapon
53	0035	Yashima	Weapon
54	0036	En-Giri	Weapon
55	0037	Bloody Kunai	Weapon
56	0038	Fearful Kunai	Weapon
57	0039	Castilla Knife	Weapon
58	003A	Ohorinomikoto	Weapon
59	003B	Flying Kato	Weapon
60	003C	Basho	Weapon
61	003D	Thief Dagger	Weapon
62	003E	Fuuma Kotaro	Weapon
63	003F	Militia Dagger	Weapon
64	0040	Blitz Knife	Weapon
65	0041	Hattori	Weapon
66	0042	Ogre Tooth	Weapon
67	0043	Rappa	Weapon
68	0044	Kashin Koji	Weapon
69	0045	Kitchen Knife	Weapon
70	0046	Malakh	Weapon
71	0047	0x047	FLR
72	0048	0x048	FLR
73	0049	0x049	FLR
74	004A	0x04A	FLR
75	004B	0x04B	FLR
76	004C	0x04C	FLR
77	004D	Kyo Sensu	Weapon
78	004E	Silk Fan	Weapon
79	004F	Suzaku Feather	Weapon
80	0050	Arazuyu Fan	Weapon
81	0051	Tesseb	Weapon
82	0052	Masquerade	Weapon
83	0053	Akisame Fan	Weapon
84	0054	Hanachirusato	Weapon
85	0055	Madam's Charm	Weapon
86	0056	Inversion Fan	Weapon
87	0057	Amagyou Fan	Weapon
88	0058	Mogari-Bue	Weapon
89	0059	Fickle Madam	Weapon
90	005A	Ganar	Weapon
91	005B	Harlot's Mercy	Weapon
92	005C	Courtesia	Weapon
93	005D	Uhi Fan	Weapon
94	005E	Adoracion	Weapon
95	005F	Suzumushi	Weapon
96	0060	Duchess	Weapon
97	0061	Noblesse Oblige	Weapon
98	0062	Hototogisu	Weapon
99	0063	Secret Fan	Weapon
100	0064	Kacho Fugetsu	Weapon
101	0065	Pieta	Weapon
102	0066	Yume no Ukihashi	Weapon
103	0067	Noh Fan	Weapon
104	0068	Boundless Sea	Weapon
105	0069	0x069	FLR
106	006A	0x06A	FLR
