id	idh	d	idx	byte	bit	name
0	0000	BTL_MES_H105_001_001	0	0	0	What is this thing!? It feels really bad...
1	0001	BTL_MES_H105_002_001	1	0	4	Ooh, a rare one! Don't let it get away!
2	0002	BTL_MES_H105_003_001	2	1	0	Oh, be careful! This one's strong!
3	0003	BTL_MES_H105_003_002	2	1	1	Hang on, 'cause this one's gonna be tough!
4	0004	BTL_MES_H105_003_003	2	1	2	Yikes, what's with this thing!? Don't give in!
5	0005	BTL_MES_H105_004_001	3	1	4	There's one enemy! Hang in there!
6	0006	BTL_MES_H105_004_002	3	1	5	One enemy on the field! You can do it!
7	0007	BTL_MES_H105_005_001	4	2	0	There are two enemies! Careful now!
8	0008	BTL_MES_H105_005_002	4	2	1	Two enemies on the field! Crush 'em!
9	0009	BTL_MES_H105_006_001	5	2	4	There are three enemies! Don't get cocky!
10	000A	BTL_MES_H105_006_002	5	2	5	Three enemies on the field! Be careful!
11	000B	BTL_MES_H105_007_001	6	3	0	Four enemies on the field! Get psyched!
12	000C	BTL_MES_H105_007_002	6	3	1	There are four enemies! Keep your guard up!
13	000D	BTL_MES_H105_008_001	7	3	4	F-Five enemies on the field! Watch yourself!
14	000E	BTL_MES_H105_008_002	7	3	5	There are five enemies! Don't let 'em get you!
15	000F	BTL_MES_H105_009_001	8	4	0	There's one enemy! You get a free hit!
16	0010	BTL_MES_H105_009_002	8	4	1	One enemy! Take your free hit!
17	0011	BTL_MES_H105_010_001	9	4	4	There are two enemies! Go for a free hit!
18	0012	BTL_MES_H105_010_002	9	4	5	Two enemies, but you have the advantage!
19	0013	BTL_MES_H105_011_001	10	5	0	There's three enemies! They're totally open!
20	0014	BTL_MES_H105_011_002	10	5	1	Three enemies! We have the initiative!
21	0015	BTL_MES_H105_012_001	11	5	4	There are four enemies! You get to go first!
22	0016	BTL_MES_H105_012_002	11	5	5	Four enemies! They're wiiiide open!
23	0017	BTL_MES_H105_013_001	12	6	0	There are five enemies! Go for a first strike!
24	0018	BTL_MES_H105_013_002	12	6	1	Five enemies! You caught 'em off guard!
25	0019	BTL_MES_H105_014_001	13	6	4	One enemy! I-It caught us off guard!?
26	001A	BTL_MES_H105_014_002	13	6	5	Eek, an ambush! There's one enemy!
27	001B	BTL_MES_H105_015_001	14	7	0	Yikes, an ambush!? There are two enemies!
28	001C	BTL_MES_H105_015_002	14	7	1	Two enemies ambushed you! Hold on!
29	001D	BTL_MES_H105_016_001	15	7	4	Be careful! Three enemies ambushed you!
30	001E	BTL_MES_H105_016_002	15	7	5	Three enemies! They got the drop on you!
31	001F	BTL_MES_H105_017_001	16	8	0	Enemy ambush! Four of 'em!
32	0020	BTL_MES_H105_017_002	16	8	1	They caught you off guard!? Four enemies!
33	0021	BTL_MES_H105_018_001	17	8	4	Five enemies ambushed you! Hold on!
34	0022	BTL_MES_H105_018_002	17	8	5	Huh, an ambush? B-By five enemies!?
35	0023	BTL_MES_H105_019_001	18	9	0	Another enemy appeared! One, to be exact!
36	0024	BTL_MES_H105_019_002	18	9	1	One more on the enemy side! Hang in there!
37	0025	BTL_MES_H105_020_001	19	9	4	Huh, more enemies!? Two, to be exact!
38	0026	BTL_MES_H105_020_002	19	9	5	Two reinforcements on the enemy's side!
39	0027	BTL_MES_H105_021_001	20	10	0	What!? Again? Three more enemies for you!
40	0028	BTL_MES_H105_021_002	20	10	1	Three more on the enemy side! Keep it up!
41	0029	BTL_MES_H105_022_001	21	10	4	Is this for real!? Four new enemies!
42	002A	BTL_MES_H105_022_002	21	10	5	No way! Four more enemies are here!
43	002B	BTL_MES_H105_023_001	22	11	0	Enemy reinforcements! Huh--Five!? The heck!?
44	002C	BTL_MES_H105_023_002	22	11	1	Five enemies appeared! Gee, this is nuts!
45	002D	BTL_MES_H105_024_001	23	11	4	Careful, it's immune to physical attacks!
46	002E	BTL_MES_H105_024_002	23	11	5	Look out, it's immune to physical attacks!
47	002F	BTL_MES_H105_025_001	24	12	0	Be careful, there's an enemy immune to fire!
48	0030	BTL_MES_H105_025_002	24	12	1	Hm, watch it! That one's immune to fire!
49	0031	BTL_MES_H105_026_001	25	12	4	Be careful, there's an ice-immune enemy!
50	0032	BTL_MES_H105_026_002	25	12	5	Whoa there! That one's immune to ice!
51	0033	BTL_MES_H105_027_001	26	13	0	Careful, that enemy's immune to wind!
52	0034	BTL_MES_H105_027_002	26	13	1	Looks like that one's immune to wind!
53	0035	BTL_MES_H105_028_001	27	13	4	Careful, it's immune to electricity!
54	0036	BTL_MES_H105_028_002	27	13	5	Watch it, that one's immune to electricity!
55	0037	BTL_MES_H105_029_001	28	14	0	Be careful, there's an enemy immune to Light!
56	0038	BTL_MES_H105_029_002	28	14	1	Oh, be careful! Light's no good on this one!
57	0039	BTL_MES_H105_030_001	29	14	4	Uh-oh, that one's immune to Darkness!
58	003A	BTL_MES_H105_030_002	29	14	5	Oh, that's not good... Darkness won't work!
59	003B	BTL_MES_H105_031_001	30	15	0	Sweet! It's weak to physical attacks!
60	003C	BTL_MES_H105_031_002	30	15	1	Ooh, that one doesn't like physical attacks!
61	003D	BTL_MES_H105_032_001	31	15	4	That enemy's weak to fire! Keep it up!
62	003E	BTL_MES_H105_032_002	31	15	5	Hey, the enemy's weak to fire! That's hot.
63	003F	BTL_MES_H105_033_001	32	16	0	That enemy's weak to ice! Cool it down!
64	0040	BTL_MES_H105_033_002	32	16	1	Cool, there's an enemy weak to ice!
65	0041	BTL_MES_H105_034_001	33	16	4	That enemy's weak to wind! Blow 'em away!
66	0042	BTL_MES_H105_034_002	33	16	5	Nice, there's an enemy weak to wind!
67	0043	BTL_MES_H105_035_001	34	17	0	It's weak to electricity! Zap 'em!
68	0044	BTL_MES_H105_035_002	34	17	1	Whoa, we got one weak to electricity!
69	0045	BTL_MES_H105_036_001	35	17	4	It's weak to Light! Shine on!
70	0046	BTL_MES_H105_036_002	35	17	5	Ah, there's an enemy weak to Light!
71	0047	BTL_MES_H105_037_001	36	18	0	The enemy's weak to Darkness! It's doomed!
72	0048	BTL_MES_H105_037_002	36	18	1	Oho, so that one's weak to Darkness!
73	0049	BTL_MES_H105_038_001	37	18	4	No way! More of you are injured!?
74	004A	BTL_MES_H105_039_001	38	19	0	Yosuke-senpai is injured! This is bad!
75	004B	BTL_MES_H105_040_001	39	19	4	Eek, Chie-senpai! C'mon, get up!
76	004C	BTL_MES_H105_041_001	40	20	0	Yukiko-senpai, no! Someone heal her!
77	004D	BTL_MES_H105_042_001	41	20	4	K-Kanji's injured! C'mon, suck it up!
78	004E	BTL_MES_H105_043_001	42	21	0	Naoto-kun collapsed! This isn't good!
79	004F	BTL_MES_H105_044_001	43	21	4	Yikes! Teddie! Someone heal him!
80	0050	BTL_MES_H105_045_001	44	22	0	Oh no... Hang in there, everyone!
81	0051	BTL_MES_H105_046_001	45	22	4	S-Senpai!? Are you okay!?
82	0052	BTL_MES_H105_047_001	46	23	0	Eek, Yosuke-senpai! Someone heal him!
83	0053	BTL_MES_H105_048_001	47	23	4	Ch-Chie-senpai! Quick, someone heal her!
84	0054	BTL_MES_H105_049_001	48	24	0	Yukiko-senpai needs help!
85	0055	BTL_MES_H105_050_001	49	24	4	Whoa, Kanji! Are you okay!?
86	0056	BTL_MES_H105_051_001	50	25	0	*gasp* Naoto-kun! Oh, this isn't good...
87	0057	BTL_MES_H105_052_001	51	25	4	Teddie, are you okay? Someone heal him!
88	0058	BTL_MES_H105_053_001	52	26	0	Yikes, that's not good! You need to regroup!
89	0059	BTL_MES_H105_054_001	53	26	4	You okay, Senpai? Hang in there!
90	005A	BTL_MES_H105_055_001	54	27	0	Y-Yosuke-senpai! Oh man, oh man...
91	005B	BTL_MES_H105_056_001	55	27	4	Chie-senpai's been hit! Hang in there!
92	005C	BTL_MES_H105_057_001	56	28	0	Yukiko-senpai! Are you okay!?
93	005D	BTL_MES_H105_058_001	57	28	4	Kanji's been hit! Someone help him!
94	005E	BTL_MES_H105_059_001	58	29	0	Hang tight, Naoto-kun! Hurry and get back up!
95	005F	BTL_MES_H105_060_001	59	29	4	Teddie, no! Can someone help him!?
96	0060	BTL_MES_H105_061_001	60	30	0	Ohhh, this is bad... Very, very bad...!
97	0061	BTL_MES_H105_062_001	61	30	4	Senpai? Can you hear me? Wake up, Senpai!
98	0062	BTL_MES_H105_063_001	62	31	0	Yosuke-senpai? Wake up!
99	0063	BTL_MES_H105_064_001	63	31	4	C'mon, Chie-senpai, wake up!
100	0064	BTL_MES_H105_065_001	64	32	0	Yukiko-senpai? Wake up, please!
