id	idh	name	tag
0	0000	Attack	
1	0001	Agi	
2	0002	Agilao	
3	0003	Agidyne	
4	0004	Maragi	
5	0005	Maragion	
6	0006	Maragidyne	
7	0007	Prominence	
8	0008	Ragnarok	
9	0009	Immortal Flame	
10	000A	Tiny Soul Tomato	
11	000B	Tetracorn	
12	000C	Run Amok	
13	000D	Shake Off	
14	000E	Garu	
15	000F	Garula	
16	0010	Garudyne	
17	0011	Magaru	
18	0012	Magarula	
19	0013	Magarudyne	
20	0014	Divine Vacuum	
21	0015	Panta Rhei	
22	0016	Hiranya Cabbage	
23	0017	Cry of Denial	
24	0018	Hot Lightning	
25	0019	Draining Fog	
26	001A	Bufu	
27	001B	Bufula	
28	001C	Bufudyne	
29	001D	Mabufu	
30	001E	Mabufula	
31	001F	Mabufudyne	
32	0020	Cocytus Pain	
33	0021	Niflheim	
34	0022	Bloody Rain	
35	0023	Red Paprika	
36	0024	Enclosure Shell	
37	0025	Hot Lightning	
38	0026	Shell of Denial	
39	0027	Zio	
40	0028	Zionga	
41	0029	Ziodyne	
42	002A	Mazio	
43	002B	Mazionga	
44	002C	Maziodyne	
45	002D	Jihad	
46	002E	Thunder Reign	
47	002F	Bead Melon	
48	0030	Mid Soul Tomato	
49	0031	Big Soul Tomato	
50	0032	Makaracorn	
51	0033	Megido	
52	0034	Megidola	
53	0035	Megidolaon	
54	0036	Last Resort	
55	0037	Black Viper	
56	0038	Morning Star	
57	0039	White Paprika	
58	003A	Blue Paprika	
59	003B	Green Paprika	
60	003C	Blank	
61	003D	Hama	
62	003E	Hamaon	
63	003F	Mahama	
64	0040	Mahamaon	
65	0041	Eternal White	
66	0042	God's Judgment	
67	0043	Samsara	
68	0044	Blank	
69	0045	Blank	
70	0046	Blank	
71	0047	Blank	
72	0048	Mudo	
73	0049	Mudoon	
74	004A	Mamudo	
75	004B	Mamudoon	
76	004C	Eternal Black	
77	004D	Demonic Judgment	
78	004E	Die for Me!	
79	004F	Blank	
80	0050	Blank	
81	0051	Blank	
82	0052	Blank	
83	0053	Pulinpa	
84	0054	Tentarafoo	
85	0055	Evil Touch	
86	0056	Evil Smile	
87	0057	Ghastly Wail	
88	0058	Balzac	
89	0059	Valiant Dance	
90	005A	Poisma	
91	005B	Poison Mist	
92	005C	Soul Break	
93	005D	Anima Freeze	
94	005E	Enervation	
95	005F	Old One	
96	0060	Galgalim Eyes	
97	0061	Makajam	
98	0062	Foolish Whisper	
99	0063	Foul Breath	
100	0064	Stagnant Air	
101	0065	Life Drain	
102	0066	Spirit Drain	
103	0067	Life Leech	
104	0068	Spirit Leech	
105	0069	Judgement	
106	006A	Balzac	
107	006B	Last Resort	
108	006C	Last Resort	
109	006D	Kamui Miracle	
110	006E	Kamui Miracle	
111	006F	Kamui Miracle	
112	0070	Kamui Miracle	
113	0071	Kamui Miracle	
114	0072	Kamui Miracle	
115	0073	Kamui Miracle	
116	0074	Kamui Miracle	
117	0075	Kamui Miracle	
118	0076	Blank	
119	0077	Elemental Break	
120	0078	Bash	
121	0079	Cleave	
122	007A	Assault Dive	
123	007B	Sonic Punch	
124	007C	Double Fangs	
125	007D	Kill Rush	
126	007E	Swift Strike	
127	007F	Twin Shot	
128	0080	Fatal End	
129	0081	Mighty Swing	
130	0082	Torrent Shot	
131	0083	Heat Wave	
132	0084	Gigantic Fist	
133	0085	Blade of Fury	
134	0086	Deathbound	
135	0087	Arrow Rain	
136	0088	Akasha Arts	
137	0089	Tempest Slash	
138	008A	Heaven's Blade	
139	008B	Myriad Arrows	
140	008C	God's Hand	
141	008D	Pralaya	
142	008E	Primal Force	
143	008F	Vorpal Blade	
144	0090	Power Slash	
145	0091	Gale Slash	
146	0092	Brave Blade	
147	0093	Herculean Strike	
148	0094	Vicious Strike	
149	0095	Single Shot	
150	0096	Skewer	
151	0097	Poison Skewer	
152	0098	Poison Arrow	
153	0099	Blight	
154	009A	Virus Wave	
155	009B	Skull Cracker	
156	009C	Mind Slice	
157	009D	Hysterical Slap	
158	009E	Crazy Chain	
159	009F	Muzzle Shot	
160	00A0	Seal Bomb	
161	00A1	Arm Chopper	
162	00A2	Atom Smasher	
163	00A3	Cell Breaker	
164	00A4	Mustard Bomb	
165	00A5	Brain Shake	
166	00A6	Navas Nebula	
167	00A7	Golden Right	
168	00A8	Black Spot	
169	00A9	Rainy Death	
170	00AA	Hassou Tobi	
171	00AB	Rampage	
172	00AC	Aeon Rain	
173	00AD	Agneyastra	
174	00AE	Cruel Attack	
175	00AF	Vile Assault	
176	00B0	Rampage	
177	00B1	Attack Up Support	
178	00B2	Guard Up Support	
179	00B3	Agility Up Support	
180	00B4	Charge Support	
181	00B5	HP Recovery Support	
182	00B6	SP Recovery Support	
183	00B7	Blank	
184	00B8	Blank	
185	00B9	Blank	
186	00BA	Blank	
187	00BB	Blank	
188	00BC	Blank	
189	00BD	Blank	
190	00BE	Blank	
191	00BF	Blank	
192	00C0	Dia	
